Total mana,TAG,Tag name,ADM/DIP/MIL,Age,Personalities,Name,Dynasty,Country of origin
10,A01,Lorent,5/3/2,31,['fertile_personality'],Laurenne,sílKyliande,A01
9,A04,Wesdam,4/4/1,44,[],ReánnaII,sílMadelaire,A14
5,A09,Sorncost,2/2/1,64,['loose_lips_personality'],Reánna,Siloriel,A01
7,A24,Westmoors,5/2/0,54,[],Mary,Fouler,A24
4,A30,Wex,1/2/1,31,['fertile_personality'],Eilísa,Siloriel,A01
8,A45,Istralore,3/3/2,24,[],Ricain,Silistra,A45
5,A46,Arbaran,3/1/1,39,[],Alina,sílnaTrísfer,A11
2,A49,Hill Gnolls,1/1/0,14,['fertile_personality'],Toixk,King-of-the-Hill,A49
9,A56,Celliande,3/2/4,35,[],Marianne,sílnaTrísfer,A57
9,B55,Counts League,3/5/1,45,['charismatic_negotiator_personality'],Larrien,Sevaros,N/A
9,F30,Kumarkand,2/5/2,35,[],Aruhana,szel-Kalib,F44
8,F35,Azkabar,2/5/1,30,['zealot_personality'],Leja,szel-Sarumar,F39
11,F36,Harklum,6/3/2,20,[],Yamina,szel-Azanerdu,F44
10,F40,Anzabad,4/4/2,42,[],Ishtara,szel-Kumarkand,F30
6,F42,Varamhar,1/3/2,209,['immortal_personality'],Alarel,Aralzuir,F42
6,F43,Zansap,2/4/0,34,['charismatic_negotiator_personality'],Nahrina,szel-Arfajazan,F43
10,F56,Dasmatus,3/4/3,40,[],Kamelya,szelSadul,N/A
9,F62,Duwarkani,1/2/6,66,[],Safana,Duwaran,N/A
10,F72,Haraagtseda,2/5/3,21,"['intricate_web_weaver_personality', 'free_thinker_personality', 'mage_personality']",Izaba,Seer-of-Fates,N/A
9,H03,Dearktir,4/2/3,30,[],Alaria,Seastrider,H03
6,H04,Elchos,2/1/3,25,[],Ivrandel,Lightkeeper,H09
7,H06,Sidpar,2/4/1,30,[],Mihtriel,Oathsworn,H08
8,H08,Pelomar,2/3/3,25,['embezzler_personality'],Leslindel,Swiftsword,H06
7,H09,Iadth,1/3/3,25,[],Elriandor,Goldtree,H04
9,H11,Sglard,1/3/5,42,[],Adral,Lightkeeper,H09
8,H12,Raithtall,4/1/3,27,[],Erlass,Whitehand,H18
7,H13,Jhorgashirr,2/2/3,23,[],Allara,Elmtree,H13
7,H15,Slegcal,1/3/3,40,[],Lanhara,Beechleaf,H15
9,H17,Reotcrab,2/3/4,30,[],Weharran,Oldstone,H15
8,H18,Gelcolle,2/2/4,36,[],Lanhara,Oakgardner,H18
9,H19,Strutmar,2/4/3,27,[],Lanhara,Forestgate,H19
