Total mana,TAG,Tag name,ADM/DIP/MIL,Age,Personalities,Name,Dynasty
9,A01,Lorent,2/3/4,17,['conqueror_personality'],Ruben,Siloriel
11,A04,Wesdam,2/6/3,6,[],Laurens,Silmuna
12,A09,Sorncost,3/6/3,41,['greedy_personality'],Aldres,sílSorncóst
7,A22,Neckcliffe,2/3/2,21,[],Artur,Cliffman
7,A24,Westmoors,2/1/4,30,[],Artur,Cottersea
11,A29,Busilar,4/6/1,17,[],Ardan,Silnara
5,A30,Wex,2/2/1,14,[],Caylen,sílWex
7,A33,Verne,2/4/1,14,[],Dustin,sílVerne
5,A37,Terr,2/3/0,2,[],Petran,sílTerr
9,A46,Arbaran,1/2/6,20,[],Artus,Silcalas
13,A47,Eborthil,5/5/3,21,['expansionist_personality'],Arman,Silebor
11,A48,Sugamber,5/4/2,22,[],Lisolette,sílRhinmond
12,A49,Hill Gnolls,5/6/1,17,['silver_tongue_personality'],Rukexis,Queen-of-the-Hill
9,A56,Celliande,4/2/3,4,[],Otó,sílAntirhalan
11,A59,Corvuria,0/5/6,20,[],Camir,sílVivin
10,A93,Estallen,6/3/1,6,[],Cecill,sílEstallen
11,B19,Sword Covenant,3/2/6,16,['scholar_personality'],Reánna,sílnaEán
13,B36,Marrhold,5/2/6,20,['inspiring_leader_personality'],GryftheYoung,Marr
12,B55,Counts League,3/4/5,26,['tactical_genius_personality'],Kalista,Blacktower
8,F21,Birsartanses,2/2/4,0,[],Birzartan,Birzartanzuir
9,F22,Dartaxagerdim,3/2/4,18,[],Tailmaz,szel-Forramaz
7,F29,Zokka,1/4/2,15,['careful_personality'],Zokka,Devourer-of-Suns
11,F30,Kumarkand,3/6/2,7,[],Saed,szel-Kumarkand
11,F35,Azkabar,4/5/2,6,[],Raafi,szel-Attalu
9,F36,Harklum,3/4/2,2,[],Himmet,szel-Harklum
9,F37,Irrliam,2/2/5,25,[],Thelrion,Irrliazuir
9,F43,Zansap,2/3/4,11,['conqueror_personality'],Jareer,szal-Barseen
11,F46,Jaddari,4/2/5,129,['immortal_personality'],Andrellion,Jaddarzuir
12,F48,Siadan,5/2/5,17,[],Asiah,Siadan
11,F56,Dasmatus,4/2/5,16,['mage_personality'],Dasma,szal-Maqet
14,F62,Duwarkani,3/5/6,21,[],Banafrit,Menkaunswid
10,G21,Pomvasonn,4/2/4,21,['lawgiver_personality'],Korej,yenVasonn
12,G23,Juzondezan,4/2/6,14,['strict_personality'],Gardevoj,Vodynn
12,G24,Gomosengha,5/4/3,5,[],Ariathra,Drozmanag
10,G25,Stantirshalas,2/4/4,20,[],Celdha,yenStantir
11,G26,Amacimst,2/4/5,21,['inspiring_leader_personality'],Faraji,Sivasred
10,G30,Mocvare,2/4/4,10,[],Lovac,yenCeped
10,G34,Arganjuzorn,2/3/5,8,[],Artorean,Uma-Zomaj
12,G35,Arverynn,4/3/5,30,['martial_educator_personality'],Carodin,Vyrekynn
10,G37,Fadhevych,3/3/4,43,[],Celavyr,Hradavych
