Province name,Province number,Development,Base Tax,Base Production,Base manpower,Owner,Trade good,Trade node,Terrain,Religion,Owner religious status,Culture,Owner cultural status,Colonized,Has port,Climate,Winter,Monsoon,Area,Region,Superregion,Continent
Far_Isle,1,7,3,3,2,A21 - Venail,fish,westport,coastline,elven_forebears,Same religion,moon_elf,Same culture,True,True,temperate,mild_winter,no_monsoon,far_isle_area,isles_of_lament_region,western_cannor_superregion,europe
Eargate,2,15,6,5,5,A30 - Wex,cloth,anbenncost,hills,regent_court,Same religion,east_damerian,Different culture group,True,True,temperate,mild_winter,no_monsoon,east_damesear_area,east_dameshead_region,western_cannor_superregion,europe
Old_Damenath,3,14,6,6,4,A85 - Magisterium,glass,dameshead,farmlands,regent_court,Same religion,east_damerian,Same culture,True,True,temperate,mild_winter,no_monsoon,west_damesear_area,east_dameshead_region,western_cannor_superregion,europe
Moonmount,4,15,5,5,5,A41 - Damish Temple,{,anbenncost,mountain,regent_court,Same religion,east_damerian,Same culture,True,True,temperate,severe_winter,no_monsoon,east_damesear_area,east_dameshead_region,western_cannor_superregion,europe
Varivar,5,15,7,7,4,A30 - Wex,naval_supplies,dameshead,woods,regent_court,Same religion,moon_elf,Different culture group,True,True,temperate,mild_winter,no_monsoon,east_damesear_area,east_dameshead_region,western_cannor_superregion,europe
Damesear,6,13,5,5,4,A85 - Magisterium,wool,dameshead,farmlands,regent_court,Same religion,east_damerian,Same culture,True,False,temperate,mild_winter,no_monsoon,west_damesear_area,east_dameshead_region,western_cannor_superregion,europe
Hardoaks,7,6,3,4,1,A13 - Gawed,naval_supplies,viswall,woods,regent_court,Same religion,bluefoot_halfling,Different culture group,True,False,temperate,normal_winter,no_monsoon,lorentish_approach_area,small_country_region,western_cannor_superregion,europe
Anbenncost,8,53,18,17,18,A38 - Anbenncost,paper,anbenncost,city_terrain,regent_court,Same religion,anbenncoster,Same culture,True,True,temperate,mild_winter,no_monsoon,west_damesear_area,east_dameshead_region,western_cannor_superregion,europe
Moonisle,9,9,4,3,3,A41 - Damish Temple,damestear,anbenncost,coastline,regent_court,Same religion,east_damerian,Same culture,True,True,temperate,mild_winter,no_monsoon,east_damesear_area,east_dameshead_region,western_cannor_superregion,europe
Wesdam,10,15,7,7,4,A04 - Wesdam,cloth,anbenncost,farmlands,regent_court,Same religion,west_damerian,Same culture,True,True,temperate,mild_winter,no_monsoon,wesdam_area,west_dameshead_region,western_cannor_superregion,europe
Damesteeth,11,5,3,3,1,A04 - Wesdam,fish,anbenncost,coastline,regent_court,Same religion,west_damerian,Same culture,True,True,temperate,mild_winter,no_monsoon,west_damesear_area,east_dameshead_region,western_cannor_superregion,europe
Greymill,12,6,3,2,2,A13 - Gawed,grain,viswall,farmlands,regent_court,Same religion,bluefoot_halfling,Different culture group,True,False,temperate,normal_winter,no_monsoon,norley_area,small_country_region,western_cannor_superregion,europe
Toothsend,13,11,5,5,3,A04 - Wesdam,fish,anbenncost,farmlands,regent_court,Same religion,west_damerian,Same culture,True,True,temperate,mild_winter,no_monsoon,wesdam_area,west_dameshead_region,western_cannor_superregion,europe
The_Pearls,14,8,3,6,1,A11 - Pearlsedge,gems,anbenncost,coastline,regent_court,Same religion,pearlsedger,Same culture,True,True,temperate,no_winter,no_monsoon,damespearl_area,west_dameshead_region,western_cannor_superregion,europe
Gabelaire,15,17,7,7,5,A04 - Wesdam,paper,anbenncost,farmlands,regent_court,Same religion,west_damerian,Same culture,True,False,temperate,mild_winter,no_monsoon,wesdam_area,west_dameshead_region,western_cannor_superregion,europe
Windtower,16,8,5,4,2,A04 - Wesdam,cloth,anbenncost,grasslands,regent_court,Same religion,west_damerian,Same culture,True,True,temperate,mild_winter,no_monsoon,windtower_area,west_dameshead_region,western_cannor_superregion,europe
Lenceiande,17,12,4,4,4,A04 - Wesdam,iron,anbenncost,hills,regent_court,Same religion,west_damerian,Same culture,True,False,temperate,mild_winter,no_monsoon,wesdam_area,west_dameshead_region,western_cannor_superregion,europe
Troutcoast,18,6,3,2,2,A40 - Exwes,fish,dameshead,hills,regent_court,Same religion,exwesser,Same culture,True,True,temperate,mild_winter,no_monsoon,exwes_area,west_dameshead_region,western_cannor_superregion,europe
Carneter,19,10,4,4,3,A15 - Eilisin,cloth,anbenncost,woods,regent_court,Same religion,west_damerian,Different culture group,True,False,temperate,mild_winter,no_monsoon,carneteria_area,west_dameshead_region,western_cannor_superregion,europe
Ordoin,20,15,4,5,5,A01 - Lorent,grain,bay_of_wines,farmlands,regent_court,Same religion,west_damerian,Different culture group,True,False,temperate,mild_winter,no_monsoon,carneteria_area,west_dameshead_region,western_cannor_superregion,europe
Dockbridge,21,8,2,2,3,A04 - Wesdam,naval_supplies,anbenncost,grasslands,regent_court,Same religion,west_damerian,Same culture,True,True,temperate,mild_winter,no_monsoon,windtower_area,west_dameshead_region,western_cannor_superregion,europe
Woodwell,22,9,2,3,3,A88 - Woodwell,livestock,anbenncost,woods,regent_court,Same religion,west_damerian,Same culture,True,False,temperate,mild_winter,no_monsoon,woodwell_area,west_dameshead_region,western_cannor_superregion,europe
Triancost,23,8,3,2,3,A22 - Neckcliffe,naval_supplies,anbenncost,farmlands,regent_court,Same religion,west_damerian,Same culture,True,True,temperate,mild_winter,no_monsoon,neckcliffe_area,west_dameshead_region,western_cannor_superregion,europe
Stoneview,24,9,4,5,2,A22 - Neckcliffe,cloth,anbenncost,farmlands,regent_court,Same religion,west_damerian,Same culture,True,True,temperate,mild_winter,no_monsoon,neckcliffe_area,west_dameshead_region,western_cannor_superregion,europe
Plainsby,25,9,4,3,3,A98 - Cestirande,grain,anbenncost,grasslands,regent_court,Same religion,vernman,Same culture group,True,False,temperate,mild_winter,no_monsoon,eastneck_area,east_dameshead_region,western_cannor_superregion,europe
Throatport,26,12,6,6,3,A22 - Neckcliffe,cloth,anbenncost,city_terrain,regent_court,Same religion,west_damerian,Same culture,True,True,temperate,mild_winter,no_monsoon,neckcliffe_area,west_dameshead_region,western_cannor_superregion,europe
Neckcliffe,27,11,4,5,3,A22 - Neckcliffe,livestock,anbenncost,farmlands,regent_court,Same religion,west_damerian,Same culture,True,True,temperate,mild_winter,no_monsoon,neckcliffe_area,west_dameshead_region,western_cannor_superregion,europe
Modgate,28,10,4,4,3,A04 - Wesdam,iron,anbenncost,hills,regent_court,Same religion,west_damerian,Same culture,True,True,temperate,mild_winter,no_monsoon,wesdam_area,west_dameshead_region,western_cannor_superregion,europe
Yshwood,29,9,4,3,3,A45 - Istralore,grain,anbenncost,woods,regent_court,Same religion,east_damerian,Same culture,True,True,temperate,mild_winter,no_monsoon,silverwoods_area,east_dameshead_region,western_cannor_superregion,europe
Ancards_Crossing,30,12,5,4,4,A88 - Woodwell,grain,anbenncost,woods,regent_court,Same religion,west_damerian,Same culture,True,False,temperate,mild_winter,no_monsoon,woodwell_area,west_dameshead_region,western_cannor_superregion,europe
Ilvandet,31,13,5,5,4,A15 - Eilisin,grain,bay_of_wines,woods,regent_court,Same religion,west_damerian,Different culture group,True,False,temperate,mild_winter,no_monsoon,carneteria_area,west_dameshead_region,western_cannor_superregion,europe
Saloren,32,12,4,4,4,A87 - Saloren,wine,bay_of_wines,farmlands,regent_court,Same religion,roilsardi,Same culture,True,False,temperate,mild_winter,no_monsoon,eastern_winebay_area,lencenor_region,western_cannor_superregion,europe
Toarnaire,33,16,8,10,3,Z68 - Toarnaire,wine,bay_of_wines,city_terrain,regent_court,Same religion,roilsardi,Same culture,True,True,temperate,mild_winter,no_monsoon,eastern_winebay_area,lencenor_region,western_cannor_superregion,europe
Loopuis,34,12,4,4,4,A87 - Saloren,cloth,bay_of_wines,farmlands,regent_court,Same religion,roilsardi,Same culture,True,True,temperate,mild_winter,no_monsoon,eastern_winebay_area,lencenor_region,western_cannor_superregion,europe
Toref_Citadel,35,14,5,4,5,A47 - Eborthil,gold,eborthil,highlands,regent_court,Same religion,tefori,Same culture,True,True,temperate,no_winter,no_monsoon,isle_of_tef_area,businor_region,western_cannor_superregion,europe
New_Tefkora,36,10,3,4,3,A47 - Eborthil,fish,eborthil,highlands,regent_court,Same religion,tefori,Same culture,True,True,temperate,no_winter,no_monsoon,isle_of_tef_area,businor_region,western_cannor_superregion,europe
Damesdale,37,14,4,4,5,A45 - Istralore,wool,anbenncost,hills,regent_court,Same religion,east_damerian,Same culture,True,True,temperate,mild_winter,no_monsoon,damerian_dales_area,east_dameshead_region,western_cannor_superregion,europe
Oldport,38,11,6,5,3,A01 - Lorent,wine,bay_of_wines,farmlands,regent_court,Same religion,high_lorentish,Same culture,True,True,temperate,mild_winter,no_monsoon,upper_winebay_area,lencenor_region,western_cannor_superregion,europe
Lions_Pass,39,13,6,5,4,A29 - Busilar,cloth,eborthil,farmlands,regent_court,Same religion,busilari,Same culture,True,True,temperate,no_winter,no_monsoon,busilari_straits_area,businor_region,western_cannor_superregion,europe
Vivinmar,40,10,4,4,3,Z05 - Tretun,cloth,bay_of_wines,woods,regent_court,Same religion,roilsardi,Different culture group,True,True,temperate,no_winter,no_monsoon,eastern_winebay_area,lencenor_region,western_cannor_superregion,europe
New_Pearlywine,41,14,6,6,4,A11 - Pearlsedge,wine,bay_of_wines,woods,regent_court,Same religion,pearlsedger,Same culture,True,False,temperate,mild_winter,no_monsoon,pearlywine_area,west_dameshead_region,western_cannor_superregion,europe
Erngrove,42,6,3,2,2,A11 - Pearlsedge,grain,anbenncost,woods,regent_court,Same religion,pearlsedger,Same culture,True,False,temperate,mild_winter,no_monsoon,pearlywine_area,west_dameshead_region,western_cannor_superregion,europe
Pearlsedge,43,9,5,3,3,A11 - Pearlsedge,fish,anbenncost,farmlands,regent_court,Same religion,pearlsedger,Same culture,True,True,temperate,no_winter,no_monsoon,damespearl_area,west_dameshead_region,western_cannor_superregion,europe
Tomansford,44,11,5,5,3,A93 - Estallen,cloth,esmaraine,farmlands,regent_court,Same religion,esmari,Same culture,True,False,temperate,mild_winter,no_monsoon,low_esmar_area,esmaria_region,western_cannor_superregion,europe
Strongport,45,11,5,5,3,A98 - Cestirande,fish,anbenncost,grasslands,regent_court,Same religion,vernman,Same culture group,True,True,temperate,mild_winter,no_monsoon,eastneck_area,east_dameshead_region,western_cannor_superregion,europe
Jewelpoint,46,10,4,6,2,A11 - Pearlsedge,gems,anbenncost,farmlands,regent_court,Same religion,pearlsedger,Same culture,True,True,temperate,no_winter,no_monsoon,damespearl_area,west_dameshead_region,western_cannor_superregion,europe
Lanpool,47,7,3,3,2,Z05 - Tretun,fish,bay_of_wines,grasslands,regent_court,Same religion,pearlsedger,Same culture,True,True,temperate,no_winter,no_monsoon,tretunica_area,west_dameshead_region,western_cannor_superregion,europe
Tretun,48,10,4,4,3,Z05 - Tretun,fish,bay_of_wines,hills,regent_court,Same religion,pearlsedger,Same culture,True,True,temperate,no_winter,no_monsoon,tretunica_area,west_dameshead_region,western_cannor_superregion,europe
Old_Pearlywine,49,14,4,8,3,A11 - Pearlsedge,wine,bay_of_wines,farmlands,regent_court,Same religion,pearlsedger,Same culture,True,False,temperate,no_winter,no_monsoon,pearlywine_area,west_dameshead_region,western_cannor_superregion,europe
Napesbay,50,13,5,5,4,A82 - Napesbay,wine,anbenncost,farmlands,regent_court,Same religion,vernman,Same culture,True,True,temperate,no_winter,no_monsoon,eastneck_area,east_dameshead_region,western_cannor_superregion,europe
Watchmans_Point,51,6,2,2,2,A33 - Verne,fish,anbenncost,coastline,regent_court,Same religion,vernman,Same culture,True,True,temperate,no_winter,no_monsoon,eastneck_area,east_dameshead_region,western_cannor_superregion,europe
