Province name,Province number,Development,Base Tax,Base Production,Base manpower,Owner,Trade good,Trade node,Terrain,Religion,Owner religious status,Culture,Owner cultural status,Colonized,Has port,Climate,Winter,Monsoon,Area,Region,Superregion,Continent
Stockholm,1,11,5,5,3,SWE - Sweden,grain,baltic_sea,grasslands,catholic,Same religion,swedish,Same culture,True,True,temperate,normal_winter,no_monsoon,ostra_svealand_area,scandinavia_region,europe_superregion,europe
Östergötland,2,6,2,2,2,SWE - Sweden,grain,baltic_sea,forest,catholic,Same religion,swedish,Same culture,True,True,temperate,normal_winter,no_monsoon,gotaland_area,scandinavia_region,europe_superregion,europe
Småland,3,4,2,2,1,SWE - Sweden,naval_supplies,baltic_sea,woods,catholic,Same religion,swedish,Same culture,True,True,temperate,normal_winter,no_monsoon,gotaland_area,scandinavia_region,europe_superregion,europe
Bergslagen,4,7,2,3,2,SWE - Sweden,iron,baltic_sea,forest,catholic,Same religion,swedish,Same culture,True,False,temperate,normal_winter,no_monsoon,ostra_svealand_area,scandinavia_region,europe_superregion,europe
Värmland,5,3,1,1,1,SWE - Sweden,iron,baltic_sea,forest,catholic,Same religion,swedish,Same culture,True,False,temperate,normal_winter,no_monsoon,svealand_area,scandinavia_region,europe_superregion,europe
Skåne,6,19,7,7,6,DAN - Denmark,fish,lubeck,farmlands,catholic,Same religion,danish,Same culture,True,True,temperate,mild_winter,no_monsoon,skaneland_area,scandinavia_region,europe_superregion,europe
Västergötland,7,6,2,2,2,SWE - Sweden,grain,lubeck,grasslands,catholic,Same religion,swedish,Same culture,True,False,temperate,normal_winter,no_monsoon,vastra_gotaland_area,scandinavia_region,europe_superregion,europe
Dalaskogen,8,6,1,2,2,SWE - Sweden,copper,baltic_sea,forest,catholic,Same religion,swedish,Same culture,True,False,temperate,normal_winter,no_monsoon,svealand_area,scandinavia_region,europe_superregion,europe
Hälsingland,9,4,2,2,1,SWE - Sweden,fish,baltic_sea,forest,catholic,Same religion,swedish,Same culture,True,True,temperate,normal_winter,no_monsoon,norrland_area,scandinavia_region,europe_superregion,europe
Jämtland,10,3,1,1,1,NOR - Norway,fur,north_sea,forest,catholic,Same religion,norwegian,Same culture,True,False,temperate,severe_winter,no_monsoon,northern_norway,,,europe
Västerbotten,11,3,1,1,1,SWE - Sweden,fur,baltic_sea,forest,catholic,Same religion,swedish,Same culture,True,True,temperate,severe_winter,no_monsoon,norrland_area,scandinavia_region,europe_superregion,europe
Sjælland,12,16,8,8,4,DAN - Denmark,fish,lubeck,farmlands,catholic,Same religion,danish,Same culture,True,True,temperate,mild_winter,no_monsoon,denmark_area,scandinavia_region,europe_superregion,europe
Slesvig,13,10,4,4,3,SHL - Holstein,livestock,lubeck,grasslands,catholic,Same religion,danish,Different culture group,True,True,temperate,mild_winter,no_monsoon,holstein_area,north_german_region,europe_superregion,europe
Fyn,14,13,5,5,4,DAN - Denmark,fish,lubeck,farmlands,catholic,Same religion,danish,Same culture,True,True,temperate,mild_winter,no_monsoon,denmark_area,scandinavia_region,europe_superregion,europe
Midtjylland,15,4,2,2,1,DAN - Denmark,livestock,lubeck,grasslands,catholic,Same religion,danish,Same culture,True,True,temperate,mild_winter,no_monsoon,jutland_area,scandinavia_region,europe_superregion,europe
Bohuslän,16,6,2,2,2,NOR - Norway,fish,lubeck,hills,catholic,Same religion,norwegian,Same culture,True,True,temperate,normal_winter,no_monsoon,vastra_gotaland_area,scandinavia_region,europe_superregion,europe
Akershus,17,7,3,3,2,NOR - Norway,fish,lubeck,forest,catholic,Same religion,norwegian,Same culture,True,True,temperate,normal_winter,no_monsoon,eastern_norway,,,europe
Umeå,18,3,1,1,1,None,unknown,baltic_sea,forest,catholic,N/A,sapmi,N/A,False,False,arctic,severe_winter,no_monsoon,norrland_area,scandinavia_region,europe_superregion,europe
Österbotten,19,3,1,1,1,SWE - Sweden,fur,baltic_sea,forest,catholic,Same religion,finnish,Same culture group,True,True,temperate,severe_winter,no_monsoon,bothnia_area,scandinavia_region,europe_superregion,europe
Trøndelag,20,7,3,3,2,NOR - Norway,fish,north_sea,mountain,catholic,Same religion,norwegian,Same culture,True,True,temperate,severe_winter,no_monsoon,northern_norway,,,europe
Hålogaland,21,4,2,2,1,NOR - Norway,fish,north_sea,hills,catholic,Same religion,norwegian,Same culture,True,True,arctic,severe_winter,no_monsoon,northern_norway,,,europe
Oplandene,22,3,1,1,1,NOR - Norway,naval_supplies,lubeck,mountain,catholic,Same religion,norwegian,Same culture,True,False,temperate,normal_winter,no_monsoon,eastern_norway,,,europe
Bergenshus,23,5,3,3,1,NOR - Norway,naval_supplies,north_sea,highlands,catholic,Same religion,norwegian,Same culture,True,True,temperate,normal_winter,no_monsoon,western_norway,,,europe
