Total mana,TAG,Tag name,ADM/DIP/MIL,Age,Personalities,Name,Dynasty,Gender,Country region,Country superregion
9,A01,Lorent,2/3/4,17,['conqueror_personality'],Ruben,Siloriel,lencenor_region,western_cannor_superregion,Male
11,A04,Wesdam,2/6/3,6,[],Laurens,Silmuna,west_dameshead_region,western_cannor_superregion,Male
12,A09,Sorncost,3/6/3,41,['greedy_personality'],Aldres,sílSorncóst,lencenor_region,western_cannor_superregion,Male
7,A22,Neckcliffe,2/3/2,21,[],Artur,Cliffman,west_dameshead_region,western_cannor_superregion,Male
7,A24,Westmoors,2/1/4,30,[],Artur,Cottersea,alenic_frontier_region,western_cannor_superregion,Male
11,A29,Busilar,4/6/1,17,[],Ardan,Silnara,businor_region,western_cannor_superregion,Male
5,A30,Wex,2/2/1,14,[],Caylen,sílWex,the_borders_region,western_cannor_superregion,Male
7,A33,Verne,2/4/1,14,[],Dustin,sílVerne,east_dameshead_region,western_cannor_superregion,Male
5,A37,Terr,2/3/0,2,[],Petran,sílTerr,esmaria_region,western_cannor_superregion,Male
9,A46,Arbaran,1/2/6,20,[],Artus,Silcalas,alenic_frontier_region,western_cannor_superregion,Male
13,A47,Eborthil,5/5/3,21,['expansionist_personality'],Arman,Silebor,businor_region,western_cannor_superregion,Male
11,A48,Sugamber,5/4/2,22,[],Lisolette,sílRhinmond,the_borders_region,western_cannor_superregion,Female
12,A49,Hill Gnolls,5/6/1,17,['silver_tongue_personality'],Rukexis,Queen-of-the-Hill,businor_region,western_cannor_superregion,Female
9,A56,Celliande,4/2/3,4,[],Otó,sílAntirhalan,the_borders_region,western_cannor_superregion,Male
11,A59,Corvuria,0/5/6,20,[],Camir,sílVivin,dostanor_region,escann_superregion,Male
10,A93,Estallen,6/3/1,6,[],Cecill,sílEstallen,esmaria_region,western_cannor_superregion,Male
11,B19,Sword Covenant,3/2/6,16,['scholar_personality'],Reánna,sílnaEán,west_castanor_region,escann_superregion,Female
13,B36,Marrhold,5/2/6,20,['inspiring_leader_personality'],GryftheYoung,Marr,south_castanor_region,escann_superregion,Male
12,B55,Counts League,3/4/5,26,['tactical_genius_personality'],Kalista,Blacktower,inner_castanor_region,escann_superregion,Female
8,F21,Birsartanses,2/2/4,0,[],Birzartan,Birzartanzuir,bahar_region,bulwar_superregion,Male
9,F22,Dartaxagerdim,3/2/4,18,[],Tailmaz,szel-Forramaz,bahar_region,bulwar_superregion,Male
7,F29,Zokka,1/4/2,15,['careful_personality'],Zokka,Devourer-of-Suns,far_bulwar_region,bulwar_superregion,Male
11,F30,Kumarkand,3/6/2,7,[],Saed,szel-Kumarkand,bulwar_proper_region,bulwar_superregion,Male
11,F35,Azkabar,4/5/2,6,[],Raafi,szel-Attalu,bulwar_proper_region,bulwar_superregion,Male
9,F36,Harklum,3/4/2,2,[],Himmet,szel-Harklum,bulwar_proper_region,bulwar_superregion,Male
9,F37,Irrliam,2/2/5,25,[],Thelrion,Irrliazuir,bulwar_proper_region,bulwar_superregion,Male
9,F43,Zansap,2/3/4,11,['conqueror_personality'],Jareer,szal-Barseen,bulwar_proper_region,bulwar_superregion,Male
11,F46,Jaddari,4/2/5,129,['immortal_personality'],Andrellion,Jaddarzuir,far_salahad_region,bulwar_superregion,Male
12,F48,Siadan,5/2/5,17,[],Asiah,Siadan,far_salahad_region,bulwar_superregion,Female
11,F56,Dasmatus,4/2/5,16,['mage_personality'],Dasma,szal-Maqet,far_salahad_region,bulwar_superregion,Male
14,F62,Duwarkani,3/5/6,21,[],Banafrit,Menkaunswid,tijarikhet_region,west_sarhal_superregion,Female
10,G21,Pomvasonn,4/2/4,21,['lawgiver_personality'],Korej,yenVasonn,epednan_expanse_region,ynn_superregion,Male
12,G23,Juzondezan,4/2/6,14,['strict_personality'],Gardevoj,Vodynn,rzenta_region,ynn_superregion,Male
12,G24,Gomosengha,5/4/3,5,[],Ariathra,Drozmanag,rzenta_region,ynn_superregion,Male
10,G25,Stantirshalas,2/4/4,20,[],Celdha,yenStantir,dolindha_region,ynn_superregion,Male
11,G26,Amacimst,2/4/5,21,['inspiring_leader_personality'],Faraji,Sivasred,dolindha_region,ynn_superregion,Male
10,G30,Mocvare,2/4/4,10,[],Lovac,yenCeped,dolindha_region,ynn_superregion,Male
10,G34,Arganjuzorn,2/3/5,8,[],Artorean,Uma-Zomaj,dolindha_region,ynn_superregion,Male
12,G35,Arverynn,4/3/5,30,['martial_educator_personality'],Carodin,Vyrekynn,sarda_region,ynn_superregion,Male
10,G37,Fadhevych,3/3/4,43,[],Celavyr,Hradavych,sarda_region,ynn_superregion,Male
12,G64,Larankar,4/3/5,58,['inspiring_leader_personality'],Seronraha,Kaonrippavar,larankarha_highlands_region,greater_taychend_superregion,Male
7,H03,Dearktir,2/1/4,13,[],Denarion,Strongarm,sarmadfar_region,eordand_superregion,Male
10,H04,Elchos,4/3/3,8,[],Liandiel,Goldtree,glorelthir_region,eordand_superregion,Female
10,H06,Sidpar,4/4/2,6,[],Seronna,Swiftsword,sarmadfar_region,eordand_superregion,Female
9,H08,Pelomar,3/2/4,4,[],Pelodan,Oathsworn,sarmadfar_region,eordand_superregion,Male
